datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2021/01/16 16:20:00,AQUA_M-T,Brasil,PARA,GARRAFAO DO NORTE,Amazonia,2,0,0.1,-2.393,-47.167,29.9
2021/01/16 16:20:00,AQUA_M-T,Brasil,PARA,TRACUATEUA,Amazonia,-999,0,1,-0.935,-46.884,25.8
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,URUARA,Amazonia,3,0.3,0,-3.474,-53.576,8.3
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,MEDICILANDIA,Amazonia,3,0.1,0,-3.054,-53.273,6.4
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,MONTE ALEGRE,Amazonia,5,0,1,-1.615,-54.207,19.2
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,OBIDOS,Amazonia,1,0.6,0,-1.485,-55.418,43.9
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,ITAITUBA,Amazonia,1,0.7,0,-4.369,-55.974,14.7
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,PARAGOMINAS,Amazonia,0,1.8,0,-3.095,-47.522,11.9
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,AVEIRO,Amazonia,0,0,0,-3.978,-55.428,10
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,URUARA,Amazonia,3,0,0.9,-3.543,-53.934,9.9
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,SANTAREM,Amazonia,3,0.1,0.3,-2.252,-54.489,17.5
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,MONTE ALEGRE,Amazonia,4,0,1,-1.951,-54.115,6
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,BRASIL NOVO,Amazonia,3,0.4,0,-2.8,-52.779,33.8
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,MONTE ALEGRE,Amazonia,5,0,0.2,-1.797,-54.075,35.1
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,MONTE ALEGRE,Amazonia,4,0.1,0.2,-2.152,-54.3,8.7
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,BELTERRA,Amazonia,2,0,0.1,-3.491,-54.873,7.3
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,ALENQUER,Amazonia,2,0.1,0.9,-1.553,-54.477,27.6
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,URUARA,Amazonia,3,0.2,0,-3.403,-53.591,6.1
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,RUROPOLIS,Amazonia,2,0.1,0.1,-4.256,-55.299,20.4
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,PRAINHA,Amazonia,3,0,0.1,-2.325,-53.838,13
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,MONTE ALEGRE,Amazonia,4,0,1,-1.427,-53.989,17.1
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,PORTO DE MOZ,Amazonia,2,0.1,0,-2.679,-52.065,3.5
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,URUARA,Amazonia,3,0,0.2,-3.545,-53.944,7.8
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,ALENQUER,Amazonia,2,0,0.9,-1.712,-54.572,14.7
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,RUROPOLIS,Amazonia,2,0.1,0.1,-4.254,-55.294,11.4
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,PRAINHA,Amazonia,3,0,0.3,-1.282,-53.687,8.8
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,SANTAREM,Amazonia,2,0,0.3,-2.862,-54.249,6.3
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,MOJUI DOS CAMPOS,Amazonia,4,0.4,0.3,-2.704,-54.64,14.4
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,PRAINHA,Amazonia,3,0,0.1,-2.832,-53.977,12.1
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,JURUTI,Amazonia,2,0,0,-2.263,-55.786,10.9
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,OBIDOS,Amazonia,1,2.4,0,-1.401,-55.616,5.4
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,ALENQUER,Amazonia,2,0.1,0.2,-1.57,-54.594,38.3
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,MONTE ALEGRE,Amazonia,3,0.1,0.3,-2.216,-54.434,64.3
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,OBIDOS,Amazonia,2,0.9,0.1,-1.589,-55.299,16.8
